,index,road,chainage,lrp,lat,lon,gap,type,name,model_type,length,id_jump,condition,road_name,bridge_length,road_id,road_id_sliced,geometry,id,model_type,dist
0,1356,N102,0.0,LRPS,23.4789716,91.1181938,,Others,,intersection,,,,Unknown,,N102LRPS,N102LRPS,POINT (91.1181938 23.4789716),1000185,potential intersection,2.779999999802385e-05
1,1574,N102,82.682,LRPE,24.0506111,91.1146667,,Others,,intersection,549.0000000000066,,,Unknown,,N102LRPE,N102LRPE,POINT (91.1146667 24.0506111),1002238,potential intersection,0.0003143089721941751
2,1587,N104,0.0,LRPS,23.0096667,91.3994163,,Others,,intersection,,,,Unknown,,N104LRPS,N104LRPS,POINT (91.3994163 23.0096667),1000341,potential intersection,0.02431370313588667
3,1710,N105,0.0,LRPS,23.6904163,90.5466108,,Others,,intersection,,,,Unknown,,N105LRPS,N105LRPS,POINT (90.5466108 23.6904163),1000028,potential intersection,2.779999999802385e-05
4,1827,N106,0.0,LRPS,22.3935552,91.8215827,,Others,,intersection,,,,Unknown,,N106LRPS,N106LRPS,POINT (91.8215827 22.3935552),1000553,potential intersection,0.06277749323801385
5,2346,N2,0.0,LRPS,23.7059167,90.5214438,,Others,,intersection,,,,Unknown,,N2LRPS,N2LRPS,POINT (90.5214438 23.7059167),1000017,potential intersection,0.00018626446252575118
6,3237,N204,0.0,LRPS,24.1479163,91.3466108,,Others,,intersection,,,,Unknown,,N204LRPS,N204LRPS,POINT (91.3466108 24.1479163),1002326,potential intersection,0.00017569615817613138
7,3329,N204,34.421,LRPE,24.2673882,91.4771382,,Others,,intersection,134.00000000000034,,,Unknown,,N204LRPE,N204LRPE,POINT (91.4771382 24.2673882),1002419,potential intersection,0.0003948307992007836
8,3346,N207,0.0,LRPS,24.2948608,91.51025,,Others,,intersection,,,,Unknown,,N207LRPS,N207LRPS,POINT (91.51025 24.2948608),1002432,potential intersection,0.00021698410079523697
9,3511,N207,67.985,LRPE,24.6263327,91.6775271,,Others,,intersection,349.9999999999943,,,Unknown,,N207LRPE,N207LRPE,POINT (91.6775271 24.6263327),1002636,potential intersection,0.00016890352275984602
10,3512,N208,0.0,LRPS,24.4713604,91.7655556,,Others,,intersection,,,,Unknown,,N208LRPS,N208LRPS,POINT (91.7655556 24.4713604),1003104,potential intersection,0.00011794541109855633
11,3688,N208,57.495,LRPE,24.8775549,91.8753604,,Others,,intersection,899.9999999999986,,,Unknown,,N208LRPE,N208LRPE,POINT (91.8753604 24.8775549),1002735,potential intersection,0.00016196326744015975
