roadNo	roadId	startChainage	endChainage	width	nrLanes
R547	1532	0	0.05	25.5	4
R547	1532	0.05	1.48	5.5	2
R547	1532	1.48	4.03	3.7	1
R547	1532	4.03	4.45	5.5	2
R547	1532	4.45	6.61	3.7	1
R547	1532	6.61	16.215	5.5	2
R547	1532	16.215	22.78	3.7	1
R547	1532	22.78	23.21	5.5	2
R547	1532	23.21	27.41	3.7	1
R547	1532	27.41	32.76	5.5	2
R547	1532	32.76	34.29	12	3
R547	1532	34.29	34.53	6	2
R547	1532	34.53	34.97	7.1	2
R547	1532	34.97	48.835	5.5	2
R547	1532	48.835	51.92	3.7	1
R547	1532	51.92	52.78	5.5	2
R547	1532	52.78	54.27	6.9	2
R547	1532	54.27	56.875	5.7	2
R547	1532	56.875	59.37	3.7	1
R547	1532	59.37	66.75	5.5	2
R547	1532	66.75	67.685	7.5	2
R547	1532	67.685	68.915	5.5	2
R547	1532	68.915	69.175	7.5	2
R547	1532	69.175	88.485	3.7	1
R547	1532	88.485	88.675	5.5	2
R547	1532	88.675	89.22	10	3
R547	1532	89.22	93.53	3.7	1
R547	1532	93.53	95.77	5.5	2
R547	1532	95.77	97.74	5.5	2
R547	1532	97.74	100.925	5.5	2
R547	1532	100.925	100.985	5.5	2
