roadNo	roadId	startChainage	endChainage	width	nrLanes
Z1004	1389	0	0.8	7	2
Z1004	1389	0.8	1.8	3.68	1
Z1004	1389	1.8	2.9	3.69	1
Z1004	1389	2.9	4.8	3.7	1
Z1004	1389	4.8	6.4	3.67	1
Z1004	1389	6.4	8.1	3.67	1
Z1004	1389	8.1	9.7	3.67	1
Z1004	1389	9.7	11.3	3.68	1
Z1004	1389	11.3	12.85	3.66	1
Z1004	1389	12.85	14.2	3.67	1
Z1004	1389	14.2	15.75	3.68	1
Z1004	1389	15.75	17.3	3.67	1
Z1004	1389	17.3	19.1	3.68	1
Z1004	1389	19.1	20.6	3.69	1
Z1004	1389	20.6	22.2	3.68	1
Z1004	1389	22.2	23.8	3.67	1
Z1004	1389	23.8	25.3	3.65	1
Z1004	1389	25.3	27.33	3.68	1
