,index,road,chainage,lrp,lat,lon,gap,type,name,model_type,length,id_jump,condition,road_name,bridge_length,road_id,road_id_sliced,geometry,id,model_type,dist
0,1339,N101,0.0,LRPS,23.4541389,91.2128611,,Others,,intersection,,,,Unknown,,N101LRPS,N101LRPS,POINT (91.2128611 23.4541389),1002288,potential intersection,0.003112214982935879
1,1355,N101,6.021,LRPE,23.4593056,91.2533889,,Others,,intersection,20.999999999999908,,,Unknown,,N101LRPE,N101LRPE,POINT (91.2533889 23.4593056),1002288,potential intersection,0.04144615079896531
2,1356,N102,0.0,LRPS,23.4789716,91.1181938,,Others,,intersection,,,,Unknown,,N102LRPS,N102LRPS,POINT (91.1181938 23.4789716),1000185,potential intersection,2.779999999802385e-05
3,1574,N102,82.682,LRPE,24.0506111,91.1146667,,Others,,intersection,549.0000000000066,,,Unknown,,N102LRPE,N102LRPE,POINT (91.1146667 24.0506111),1002574,potential intersection,0.0003143089721941751
4,1575,N103,0.0,LRPS,23.9570278,91.1155278,,Others,,intersection,,,,Unknown,,N103LRPS,N103LRPS,POINT (91.1155278 23.9570278),1001549,potential intersection,6.207326316628125e-05
5,1586,N103,4.779,LRPE,23.9968886,91.1092778,,Others,,intersection,139.9999999999997,,,Unknown,,N103LRPE,N103LRPE,POINT (91.1092778 23.9968886),1001560,potential intersection,0.00014165468576711978
6,1587,N104,0.0,LRPS,23.0096667,91.3994163,,Others,,intersection,,,,Unknown,,N104LRPS,N104LRPS,POINT (91.3994163 23.0096667),1020613,potential intersection,0.0005905375263289429
7,1710,N105,0.0,LRPS,23.6904163,90.5466108,,Others,,intersection,,,,Unknown,,N105LRPS,N105LRPS,POINT (90.5466108 23.6904163),1000028,potential intersection,2.779999999802385e-05
8,1827,N106,0.0,LRPS,22.3935552,91.8215827,,Others,,intersection,,,,Unknown,,N106LRPS,N106LRPS,POINT (91.8215827 22.3935552),1000553,potential intersection,0.06277749323801385
9,2039,N107,0.0,LRPS,22.3944163,91.891833,,Others,,intersection,,,,Unknown,,N107LRPS,N107LRPS,POINT (91.891833 22.3944163),1022219,potential intersection,0.07591925476820781
10,2069,N107,10.542,LRPE,22.3159722,91.9235827,,Others,,intersection,523.9999999999991,,,Unknown,,N107LRPE,N107LRPE,POINT (91.9235827 22.3159722),1000614,potential intersection,8.330000000000837e-05
11,2070,N108,0.0,LRPS,22.1021389,92.0740827,,Others,,intersection,,,,Unknown,,N108LRPS,N108LRPS,POINT (92.0740827 22.1021389),1000698,potential intersection,3.9315137043738085e-05
12,2161,N108,22.541,LRPE,22.1960552,92.2176104,,Others,,intersection,309.99999999999875,,,Unknown,,N108LRPE,N108LRPE,POINT (92.2176104 22.1960552),1011126,potential intersection,0.005409856183855162
13,2162,N109,0.0,LRPS,21.4433608,92.1014722,,Others,,intersection,,,,Unknown,,N109LRPS,N109LRPS,POINT (92.1014722 21.4433608),1000925,potential intersection,0.0064130952160399235
14,2173,N109,2.51,LRPE,21.4284716,92.0953052,,Others,,intersection,189.99999999999994,,,Unknown,,N109LRPE,N109LRPE,POINT (92.0953052 21.4284716),1000935,potential intersection,0.00011450109169518227
15,2174,N110,0.0,LRPS,21.4259438,92.0232493,,Others,,intersection,,,,Unknown,,N110LRPS,N110LRPS,POINT (92.0232493 21.4259438),1000966,potential intersection,0.0001178747216310822
16,2204,N110,7.56,LRP008,21.4359997,91.9715827,,KmPost,,intersection,159.99999999999926,,,Unknown,,N110LRP008,N110LRP0,POINT (91.9715827 21.4359997),1011697,potential intersection,0.006834938520574736
17,2205,N111,0.0,LRPS,22.3934441,91.7491386,,Others,,intersection,,,,Unknown,,N111LRPS,N111LRPS,POINT (91.7491386 22.3934441),1000553,potential intersection,0.009672744072399738
18,2249,N111,12.66,LRPE,22.2984719,91.7922219,,Others,,intersection,226.00000000000085,,,Unknown,,N111LRPE,N111LRPE,POINT (91.7922219 22.2984719),1000586,potential intersection,0.06597430473123217
19,2250,N112,0.0,LRPS,23.0091944,91.3693882,,Others,,intersection,,,,Unknown,,N112LRPS,N112LRPS,POINT (91.3693882 23.0091944),1001595,potential intersection,0.011413431813881963
20,2259,N112,2.72,LRPE,23.0318604,91.3742493,,Others,,intersection,20.000000000000018,,,Unknown,,N112LRPE,N112LRPE,POINT (91.3742493 23.0318604),1020608,potential intersection,0.008069197950231668
21,2260,N119,0.0,LRPS,23.4914441,90.9936108,,Others,,intersection,,,,Unknown,,N119LRPS,N119LRPS,POINT (90.9936108 23.4914441),1000161,potential intersection,0.009898946764181588
22,2263,N119,2.38,LRP002a,23.4867774,91.0128056,,Culvert,,intersection,379.9999999999999,,,Unknown,,N119LRP002a,N119LRP0,POINT (91.0128056 23.4867774),1000162,potential intersection,0.00969178626465668
23,2264,N120,0.0,LRPS,23.4772771,91.1361108,,Others,,intersection,,,,Unknown,,N120LRPS,N120LRPS,POINT (91.1361108 23.4772771),1000185,potential intersection,0.018024626966731756
