,index,road,chainage,lrp,lat,lon,gap,type,name,model_type,length,id,id_jump,condition,road_name,bridge_length,road_id,road_id_sliced,geometry
0,0,N1,0.0,LRPS,23.7060278,90.443333,,Others,SoSi1,sourcesink,0.0,1000000,,,Unknown,,N1LRPS,N1LRPS,POINT (90.443333 23.7060278)
1,1,N1,0.814,LRPSa,23.7029167,90.4504167,,Culvert,,link,814.0,1000001,,,Unknown,,N1LRPSa,N1LRPSa,POINT (90.4504167 23.7029167)
2,2,N1,0.822,LRPSb,23.7027778,90.4504722,,CrossRoad,,link,8.000000000000007,1000002,,,Unknown,,N1LRPSb,N1LRPSb,POINT (90.4504722 23.7027778)
3,3,N1,1.0,LRP001,23.7021389,90.4519722,,KmPost,,link,178.00000000000006,1000003,,,Unknown,,N1LRP001,N1LRP001,POINT (90.4519722 23.7021389)
4,4,N1,2.0,LRP002,23.6978886,90.4605833,,KmPost,,link,1000.0,1000004,,,Unknown,,N1LRP002,N1LRP002,POINT (90.4605833 23.6978886)
5,5,N1,2.13,LRP002a,23.6973608,90.4616667,,Culvert,,link,129.9999999999999,1000005,,,Unknown,,N1LRP002a,N1LRP002,POINT (90.4616667 23.6973608)
6,6,N1,3.0,LRP003,23.693833,90.4691382,,KmPost,,link,870.0000000000001,1000006,,,Unknown,,N1LRP003,N1LRP003,POINT (90.4691382 23.693833)
7,7,N1,4.0,LRP004,23.6936108,90.4787771,,KmPost,,link,1000.0,1000007,,,Unknown,,N1LRP004,N1LRP004,POINT (90.4787771 23.6936108)
8,8,N1,4.175,LRP004a,23.6938052,90.4805271,,"SideRoad,Right",,link,174.99999999999983,1000008,,,Unknown,,N1LRP004a,N1LRP004,POINT (90.4805271 23.6938052)
9,9,N1,5.0,LRP005,23.6947497,90.4884997,,KmPost,,link,825.0000000000002,1000009,,,Unknown,,N1LRP005,N1LRP005,POINT (90.4884997 23.6947497)
10,10,N1,6.0,LRP006,23.6959163,90.4981941,,KmPost,,link,1000.0,1000010,,,Unknown,,N1LRP006,N1LRP006,POINT (90.4981941 23.6959163)
11,11,N1,7.0,LRP007,23.697333,90.50775,,KmPost,,link,1000.0,1000011,,,Unknown,,N1LRP007,N1LRP007,POINT (90.50775 23.697333)
12,12,N1,7.181,LRP007a,23.6979163,90.5092778,,CrossRoad,,link,181.00000000000006,1000012,,,Unknown,,N1LRP007a,N1LRP007,POINT (90.5092778 23.6979163)
13,13,N1,8.0,LRP008,23.7020556,90.5157222,,KmPost,,link,819.0,1000013,,,Unknown,,N1LRP008,N1LRP008,POINT (90.5157222 23.7020556)
14,14,N1,8.011,LRP008a,23.7021111,90.5157778,BS,Bridge,,bridge,10.999999999999233,1000014,,A,Unknown,394.23,N1LRP008a,N1LRP008,POINT (90.5157778 23.7021111)
15,15,N1,8.429,LRP008b,23.7045833,90.5188327,BE,Bridge,,link,418.000000000001,1000015,,,Unknown,,N1LRP008b,N1LRP008,POINT (90.5188327 23.7045833)
16,16,N1,8.503,LRP009,23.7050278,90.5193327,,KmPost,,link,73.99999999999984,1000016,,,Unknown,,N1LRP009,N1LRP009,POINT (90.5193327 23.7050278)
17,17,N1,8.763,LRP009a,23.7059167,90.5214438,,"SideRoad,Left",,intersection,259.9999999999998,1000017,,,Unknown,,N1LRP009a,N1LRP009,POINT (90.5215271 23.7060833)
18,18,N1,9.503,LRP010,23.7025278,90.5273882,,KmPost,,link,740.0000000000002,1000018,,,Unknown,,N1LRP010,N1LRP010,POINT (90.5273882 23.7025278)
19,19,N1,9.615,LRP010a,23.7015278,90.5281938,,Culvert,,bridge,112.0000000000001,1000019,,B,Unknown,8.0,N1LRP010a,N1LRP010,POINT (90.5281938 23.7015278)
20,20,N1,9.963,LRP010b,23.6998608,90.5307216,,Culvert,,bridge,347.999999999999,1000020,,A,Unknown,6.3,N1LRP010b,N1LRP010,POINT (90.5307216 23.6998608)
21,21,N1,10.377,LRP010c,23.6974163,90.5337774,,Culvert,,bridge,414.0000000000015,1000021,,A,Unknown,6.3,N1LRP010c,N1LRP010,POINT (90.5337774 23.6974163)
22,22,N1,10.503,LRP011,23.6966386,90.5348052,,KmPost,,link,125.99999999999945,1000022,,,Unknown,,N1LRP011,N1LRP011,POINT (90.5348052 23.6966386)
23,23,N1,10.885,LRP011a,23.6943608,90.5376108,,Culvert,,bridge,381.99999999999966,1000023,,A,Unknown,8.3,N1LRP011a,N1LRP011,POINT (90.5376108 23.6943608)
24,24,N1,11.313,LRP011b,23.6922774,90.5410552,,Culvert,,bridge,428.0000000000008,1000024,,A,Unknown,8.3,N1LRP011b,N1LRP011,POINT (90.5410552 23.6922774)
25,25,N1,11.497,LRP012,23.6918052,90.5426108,,KmPost,,link,183.99999999999926,1000025,,,Unknown,,N1LRP012,N1LRP012,POINT (90.5426108 23.6918052)
