,road,lrp,id,lat,lon,condition,bridge_length,Truck number,Truck percentage
0,N1,LRPS,1000000,23.7060278,90.443333,NaN,NaN,15760.0,0.4096485755874402
1,N1,LRPSa,1000001,23.7029167,90.4504167,NaN,NaN,15760.0,0.4096485755874402
2,N1,LRPSb,1000002,23.7027778,90.4504722,NaN,NaN,15760.0,0.4096485755874402
3,N1,LRP001,1000003,23.7021389,90.4519722,NaN,NaN,15760.0,0.4096485755874402
4,N1,LRP002,1000004,23.6978886,90.4605833,NaN,NaN,15760.0,0.4096485755874402
5,N1,LRP002a,1000005,23.6973608,90.4616667,NaN,NaN,15760.0,0.4096485755874402
6,N1,LRP003,1000006,23.693833,90.4691382,NaN,NaN,15760.0,0.4096485755874402
7,N1,LRP004,1000007,23.6936108,90.4787771,NaN,NaN,15760.0,0.4096485755874402
8,N1,LRP004a,1000008,23.6936663,90.4808327,NaN,NaN,9663.0,0.3045095011502222
9,N1,LRP005,1000009,23.6947497,90.4884997,NaN,NaN,9663.0,0.3045095011502222
10,N1,LRP006,1000010,23.6959163,90.4981941,NaN,NaN,9663.0,0.3045095011502222
11,N1,LRP007,1000011,23.697333,90.50775,NaN,NaN,9663.0,0.3045095011502222
12,N1,LRP007a,1000012,23.6979163,90.5092778,NaN,NaN,9113.0,0.2848079507453824
13,N1,LRP008,1000013,23.7020556,90.5157222,NaN,NaN,9113.0,0.2848079507453824
14,N1,LRP008a,1000014,23.7021111,90.5157778,A,394.23,9113.0,0.2848079507453824
15,N1,LRP008b,1000015,23.7045833,90.5188327,NaN,NaN,9113.0,0.2848079507453824
16,N1,LRP009,1000016,23.7050278,90.5193327,NaN,NaN,9113.0,0.2848079507453824
17,N1,LRP009a,1000017,23.7059167,90.5214438,NaN,NaN,9113.0,0.2848079507453824
18,N1,LRP009a,1000017,23.7059167,90.5214438,NaN,NaN,16410.0,0.3636001063546929
19,N1,LRP010,1000018,23.7025278,90.5273882,NaN,NaN,16410.0,0.3636001063546929
20,N1,LRP010a,1000019,23.7015278,90.5281938,B,8.0,16410.0,0.3636001063546929
21,N1,LRP010b,1000020,23.6998608,90.5307216,A,6.3,16410.0,0.3636001063546929
22,N1,LRP010c,1000021,23.6974163,90.5337774,A,6.3,16410.0,0.3636001063546929
23,N1,LRP011,1000022,23.6966386,90.5348052,NaN,NaN,16410.0,0.3636001063546929
24,N1,LRP011a,1000023,23.6943608,90.5376108,A,8.3,16410.0,0.3636001063546929
25,N1,LRP011b,1000024,23.6922774,90.5410552,A,8.3,16410.0,0.3636001063546929
26,N1,LRP012,1000025,23.6918052,90.5426108,NaN,NaN,16410.0,0.3636001063546929
27,N1,LRP012a,1000026,23.6911108,90.5448886,A,9.3,16410.0,0.3636001063546929
28,N1,LRP012b,1000027,23.6910552,90.5451386,NaN,NaN,16410.0,0.3636001063546929
29,N1,LRP012c,1000028,23.6904163,90.5466108,NaN,NaN,16410.0,0.3636001063546929
30,N1,LRP013,1000029,23.6865274,90.5504167,NaN,NaN,16410.0,0.3636001063546929
31,N1,LRP013a,1000030,23.6854997,90.5512778,A,27.5,16410.0,0.3636001063546929
32,N1,LRP014,1000031,23.678166,90.5556111,NaN,NaN,16410.0,0.3636001063546929
33,N1,LRP015,1000032,23.670916,90.5597778,NaN,NaN,16410.0,0.3636001063546929
34,N1,LRP015a,1000033,23.6705827,90.5599722,NaN,NaN,16410.0,0.3636001063546929
35,N1,LRP016,1000034,23.6628333,90.5641111,NaN,NaN,16410.0,0.3636001063546929
36,N1,LRP016a,1000035,23.6605,90.5671104,NaN,NaN,16410.0,0.3636001063546929
37,N1,LRP016a,1000035,23.6605,90.5671104,NaN,NaN,16410.0,0.3636001063546929
38,N1,LRP016b,1000036,23.6591111,90.5697216,B,5.55,16410.0,0.3636001063546929
39,N1,LRP016c,1000037,23.6583056,90.5709993,NaN,NaN,16410.0,0.3636001063546929
40,N1,LRP017,1000038,23.6575,90.5719716,NaN,NaN,16410.0,0.3636001063546929
41,N1,LRP017a,1000039,23.6559722,90.5743327,C,159.52,16410.0,0.3636001063546929
42,N1,LRP017b,1000040,23.6559167,90.5745271,NaN,NaN,16410.0,0.3636001063546929
43,N1,LRP017c,1000041,23.6540556,90.5772771,C,159.52,16410.0,0.3636001063546929
44,N1,LRP017d,1000042,23.6539167,90.5774993,NaN,NaN,16410.0,0.3636001063546929
45,N1,LRP018,1000043,23.6525278,90.5798882,NaN,NaN,16410.0,0.3636001063546929
46,N1,LRP018a,1000044,23.6508889,90.5826382,A,20.5,16410.0,0.3636001063546929
47,N1,LRP018b,1000045,23.6506944,90.5829993,NaN,NaN,16410.0,0.3636001063546929
48,N1,LRP019,1000046,23.6476108,90.588083,NaN,NaN,16410.0,0.3636001063546929
49,N1,LRP019a,1000047,23.6449441,90.5899163,C,40.5,16410.0,0.3636001063546929
50,N1,LRP019b,1000048,23.6397497,90.5926941,B,40.33,16410.0,0.3636001063546929
51,N1,LRP020,1000049,23.6396941,90.5927219,NaN,NaN,16410.0,0.3636001063546929
52,N1,LRP020a,1000050,23.6358052,90.5948608,NaN,NaN,13033.0,0.44975498654151425
53,N1,LRP020b,1000051,23.6341108,90.5970274,B,10.4,13033.0,0.44975498654151425
54,N1,LRP020c,1000052,23.6335552,90.5976941,NaN,NaN,13033.0,0.44975498654151425
55,N1,LRP021,1000053,23.6330549,90.5982774,NaN,NaN,13033.0,0.44975498654151425
56,N1,LRP021a,1000054,23.6262771,90.6042222,A,86.92,13033.0,0.44975498654151425
57,N1,LRP022,1000055,23.6252216,90.6049722,NaN,NaN,13033.0,0.44975498654151425
58,N1,LRP022a,1000056,23.6242216,90.6055278,B,5.5,13033.0,0.44975498654151425
59,N1,LRP022b,1000057,23.6224993,90.6066944,NaN,NaN,13033.0,0.44975498654151425
60,N1,LRP022c,1000058,23.6204716,90.6079722,B,5.5,13033.0,0.44975498654151425
61,N1,LRP022d,1000059,23.6195271,90.6085833,NaN,NaN,13033.0,0.44975498654151425
62,N1,LRP023,1000060,23.6173604,90.6096944,NaN,NaN,13033.0,0.44975498654151425
63,N1,LRP023a,1000061,23.6095556,90.6121944,A,224.8,13033.0,0.44975498654151425
64,N1,LRP024,1000062,23.609,90.6124722,NaN,NaN,13033.0,0.44975498654151425
65,N1,LRP024a,1000063,23.6018611,90.6159722,A,924.85,13033.0,0.44975498654151425
66,N1,LRP025,1000064,23.6009444,90.6165556,NaN,NaN,13033.0,0.44975498654151425
67,N1,LRP026,1000065,23.5959997,90.624666,NaN,NaN,13033.0,0.44975498654151425
68,N1,LRP026a,1000066,23.5959441,90.6246938,A,5.6,13033.0,0.44975498654151425
69,N1,LRP026b,1000067,23.5917497,90.6293327,A,5.5,13033.0,0.44975498654151425
70,N1,LRP027,1000068,23.5896108,90.6313882,NaN,NaN,13033.0,0.44975498654151425
71,N1,LRP027a,1000069,23.5837497,90.6369441,A,5.6,13033.0,0.44975498654151425
72,N1,LRP028,1000070,23.5828327,90.6378886,NaN,NaN,13033.0,0.44975498654151425
73,N1,LRP028a,1000071,23.5825827,90.6381386,A,173.25,13033.0,0.44975498654151425
74,N1,LRP028b,1000072,23.577916,90.6419719,NaN,NaN,13033.0,0.44975498654151425
75,N1,LRP028c,1000073,23.5776104,90.6421108,A,172.1,13033.0,0.44975498654151425
76,N1,LRP029,1000074,23.5745271,90.6436941,NaN,NaN,13033.0,0.44975498654151425
77,N1,LRP029a,1000075,23.572166,90.6451108,A,29.85,13033.0,0.44975498654151425
78,N1,LRP029b,1000076,23.5718327,90.6453052,NaN,NaN,13033.0,0.44975498654151425
