,road,id,model_type,name,lat,lon,length,condition,bridge_length
0,N1,1000000,sourcesink,SoSi1,23.7060278,90.443333,0.0,,
1,N1,1000001,link,,23.7029167,90.4504167,814.0,,
2,N1,1000002,link,,23.7027778,90.4504722,8.000000000000007,,
3,N1,1000003,link,,23.7021389,90.4519722,178.00000000000006,,
4,N1,1000004,link,,23.6978886,90.4605833,1000.0,,
5,N1,1000005,link,,23.6973608,90.4616667,129.9999999999999,,
6,N1,1000006,link,,23.693833,90.4691382,870.0000000000001,,
7,N1,1000007,link,,23.6936108,90.4787771,1000.0,,
8,N1,1000008,intersection,,23.6936663,90.4808327,174.99999999999983,,
9,N1,1000009,link,,23.6947497,90.4884997,825.0000000000002,,
10,N1,1000010,link,,23.6959163,90.4981941,1000.0,,
11,N1,1000011,link,,23.697333,90.50775,1000.0,,
12,N1,1000012,link,,23.6979163,90.5092778,181.00000000000006,,
13,N1,1000013,link,,23.7020556,90.5157222,819.0,,
14,N1,1000014,bridge,,23.7021111,90.5157778,10.999999999999233,A,394.23
15,N1,1000015,link,,23.7045833,90.5188327,418.000000000001,,
16,N1,1000016,link,,23.7050278,90.5193327,73.99999999999984,,
17,N1,1000017,intersection,,23.7059167,90.5214438,259.9999999999998,,
18,N1,1000018,link,,23.7025278,90.5273882,740.0000000000002,,
19,N1,1000019,bridge,,23.7015278,90.5281938,112.0000000000001,B,8.0
20,N1,1000020,bridge,,23.6998608,90.5307216,347.999999999999,A,6.3
21,N1,1000021,bridge,,23.6974163,90.5337774,414.0000000000015,A,6.3
22,N1,1000022,link,,23.6966386,90.5348052,125.99999999999945,,
23,N1,1000023,bridge,,23.6943608,90.5376108,381.99999999999966,A,8.3
24,N1,1000024,bridge,,23.6922774,90.5410552,428.0000000000008,A,8.3
25,N1,1000025,link,,23.6918052,90.5426108,183.99999999999926,,
26,N1,1000026,bridge,,23.6911108,90.5448886,247.99999999999932,A,9.3
27,N1,1000027,link,,23.6910552,90.5451386,26.000000000001577,,
28,N1,1000028,intersection,,23.6904163,90.5466108,164.99999999999915,,
29,N1,1000029,link,,23.6865274,90.5504167,587.9999999999992,,
30,N1,1000030,bridge,,23.6854997,90.5512778,148.00000000000148,A,27.5
31,N1,1000031,link,,23.678166,90.5556111,851.9999999999985,,
32,N1,1000032,link,,23.670916,90.5597778,1000.0,,
33,N1,1000033,link,,23.6705827,90.5599722,39.00000000000148,,
34,N1,1000034,link,,23.6628333,90.5641111,960.9999999999985,,
35,N1,1000035,intersection,,23.6605,90.5671104,411.00000000000136,,
36,N1,1000036,bridge,,23.6591111,90.5697216,307.0000000000004,B,5.55
37,N1,1000037,link,,23.6583056,90.5709993,160.00000000000014,,
38,N1,1000038,link,,23.6575,90.5719716,121.99999999999989,,
